Prediction,Groundtruth,station,lead_time,year,month,day
"[3.9308074 3.9308074 3.9308074 3.9308074 3.9308074 3.9308074 3.9308074
 3.9308074 3.9308074 3.9308074 3.9308074 3.9308074]",[ 16.9   103.417  22.583],355.0,11,2020,6,2
"[3.3549547 3.3549547 3.3549547 3.3549547 3.3549547 3.3549547 3.3549547
 3.3549547 3.3549547 3.3549547 3.3549547 3.3549547]",[ 56.    103.417  22.583],355.0,12,2020,6,2
"[3.4300656 3.4300656 3.4300656 3.4300656 3.4300656 3.4300656 3.4300656
 3.4300656 3.4300656 3.4300656 3.4300656 3.4300656]",[ 56.    103.417  22.583],355.0,13,2020,6,2
"[11.867541 11.867541 11.867541 11.867541 11.867541 11.867541 11.867541
 11.867541 11.867541 11.867541 11.867541 11.867541]",[ 63.9   103.417  22.583],355.0,14,2020,6,2
"[13.344727 13.344727 13.344727 13.344727 13.344727 13.344727 13.344727
 13.344727 13.344727 13.344727 13.344727 13.344727]",[ 64.8   103.417  22.583],355.0,15,2020,6,2
"[13.67021 13.67021 13.67021 13.67021 13.67021 13.67021 13.67021 13.67021
 13.67021 13.67021 13.67021 13.67021]",[ 49.1   103.417  22.583],355.0,16,2020,6,2
"[13.820434 13.820434 13.820434 13.820434 13.820434 13.820434 13.820434
 13.820434 13.820434 13.820434 13.820434 13.820434]",[ 67.4   103.417  22.583],355.0,17,2020,6,2
"[14.8469515 14.8469515 14.8469515 14.8469515 14.8469515 14.8469515
 14.8469515 14.8469515 14.8469515 14.8469515 14.8469515 14.8469515]",[ 67.4   103.417  22.583],355.0,18,2020,6,2
"[15.823394 15.823394 15.823394 15.823394 15.823394 15.823394 15.823394
 15.823394 15.823394 15.823394 15.823394 15.823394]",[ 28.3   103.417  22.583],355.0,19,2020,6,2
"[16.9751 16.9751 16.9751 16.9751 16.9751 16.9751 16.9751 16.9751 16.9751
 16.9751 16.9751 16.9751]",[ 28.3   103.417  22.583],355.0,20,2020,6,2
"[13.144436 13.144436 13.144436 13.144436 13.144436 13.144436 13.144436
 13.144436 13.144436 13.144436 13.144436 13.144436]",[ 20.4   103.417  22.583],355.0,21,2020,6,2
"[34.851532 34.851532 34.851532 34.851532 34.851532 34.851532 34.851532
 34.851532 34.851532 34.851532 34.851532 34.851532]",[ 18.3   103.417  22.583],355.0,22,2020,6,2
"[37.73079 37.73079 37.73079 37.73079 37.73079 37.73079 37.73079 37.73079
 37.73079 37.73079 37.73079 37.73079]",[ 18.3   103.417  22.583],355.0,23,2020,6,2
"[43.58945 43.58945 43.58945 43.58945 43.58945 43.58945 43.58945 43.58945
 43.58945 43.58945 43.58945 43.58945]",[  1.8   103.417  22.583],355.0,24,2020,6,2
