index,sample_id,groundtruth,S2S,CNN-LSTM,U-Net,S2S-only Transformer,Ours,Quantile Mapping
24,2022-02-12_lead_07,0.0,9.833409309387207,7.262748718261719,8.144262313842773,8.151678085327148,7.597808837890625,6.669445037841797
25,2023-02-12_lead_07,0.30000007152557373,1.7160660028457642,4.321500778198242,2.7158162593841553,6.89678430557251,1.8374991416931152,0.0
26,2022-02-15_lead_07,38.19999694824219,57.41535568237305,31.873315811157227,38.40296173095703,51.60678482055664,67.27294921875,66.51659393310547
27,2023-02-15_lead_07,2.9000000953674316,7.94555139541626,17.429407119750977,10.898612976074219,6.792274475097656,5.204351902008057,4.232219219207764
28,2022-02-19_lead_07,41.199989318847656,44.630653381347656,23.766246795654297,37.983219146728516,42.817420959472656,26.153444290161133,49.67802047729492
29,2023-02-19_lead_07,2.6000001430511475,8.365455627441406,11.158329010009766,25.814109802246094,8.741137504577637,5.749285697937012,4.612327575683594
30,2022-02-22_lead_07,3.0,7.790234088897705,10.627893447875977,12.310639381408691,5.1640729904174805,5.055351257324219,4.122035980224609
31,2023-02-22_lead_07,0.0,3.416141986846924,8.078751564025879,5.2541046142578125,4.862071990966797,3.4628965854644775,0.15020765364170074
32,2022-02-26_lead_07,0.0,2.4675660133361816,7.567336082458496,3.1837377548217773,1.4101948738098145,1.0126566886901855,0.0
33,2023-02-26_lead_07,1.999999761581421,5.497790813446045,12.749528884887695,17.6784610748291,1.2808572053909302,2.969757080078125,1.5122908353805542
34,2022-02-29_lead_07,0.0,4.459795951843262,17.55223274230957,8.175859451293945,2.917957305908203,4.4145355224609375,0.6268628835678101
35,2023-02-29_lead_07,1.999999761581421,9.95883846282959,15.525835990905762,9.023005485534668,12.425329208374023,4.799973011016846,6.8594441413879395
36,2022-03-04_lead_07,0.0,5.30504846572876,23.18408966064453,7.0221099853515625,6.367239952087402,2.7810940742492676,1.3142752647399902
37,2023-03-04_lead_07,0.0,4.197750091552734,12.792391777038574,10.660724639892578,2.835505485534668,3.442190647125244,0.4412356913089752
38,2022-03-07_lead_07,0.0,4.612685203552246,24.258686065673828,5.097434043884277,4.012200355529785,7.4461774826049805,0.7510509490966797
39,2023-03-07_lead_07,20.999996185302734,9.790255546569824,9.337851524353027,16.5513916015625,8.628242492675781,11.147695541381836,6.604075908660889
40,2022-03-11_lead_07,24.999998092651367,29.79503631591797,28.82605743408203,16.33263397216797,21.584348678588867,31.582555770874023,32.004634857177734
41,2023-03-11_lead_07,35.0,17.762704849243164,10.50937271118164,2.6715173721313477,21.719411849975586,33.24696350097656,16.66668701171875
42,2022-03-14_lead_07,24.999998092651367,24.052268981933594,28.230304718017578,27.02292251586914,28.337839126586914,20.912382125854492,25.211193084716797
43,2023-03-14_lead_07,14.000000953674316,21.40102195739746,16.3558406829834,16.174013137817383,5.3552117347717285,21.908512115478516,21.53849983215332
44,2022-03-18_lead_07,59.000003814697266,84.67095184326172,50.728981018066406,30.622446060180664,33.240318298339844,39.37684631347656,110.00566101074219
45,2023-03-18_lead_07,0.20000001788139343,9.517854690551758,6.932400703430176,12.699033737182617,4.070415496826172,7.304182529449463,6.191445350646973
46,2022-03-21_lead_07,71.0,99.3475341796875,57.87657165527344,32.72815704345703,81.19796752929688,71.80162811279297,136.74639892578125
47,2023-03-21_lead_07,6.1999993324279785,9.260553359985352,18.080867767333984,35.49061965942383,13.673722267150879,6.165614604949951,5.805179595947266
48,2022-03-25_lead_07,38.00000762939453,41.25188064575195,36.74129104614258,9.227777481079102,45.971248626708984,39.66747283935547,45.69114303588867
49,2023-03-25_lead_07,17.0,22.68647575378418,29.257246017456055,11.79471492767334,9.189919471740723,15.038204193115234,23.247827529907227
50,2022-03-28_lead_07,28.9999942779541,49.48063659667969,49.31785583496094,17.887271881103516,49.7693977355957,38.08515930175781,55.58522415161133
51,2023-03-28_lead_07,18.000003814697266,31.165462493896484,20.048242568969727,44.460205078125,25.8406925201416,15.268750190734863,33.62506866455078
52,2022-04-01_lead_07,6.90000057220459,5.311680316925049,28.670743942260742,19.854366302490234,2.9051434993743896,4.137917518615723,1.3210885524749756
53,2023-04-01_lead_07,7.0,0.4622146487236023,27.67172622680664,11.16759967803955,4.732892036437988,4.115597248077393,0.0
54,2022-04-04_lead_07,3.8999998569488525,5.823062419891357,22.897037506103516,29.235885620117188,3.287240982055664,7.249515056610107,1.8014116287231445
55,2023-04-04_lead_07,0.0,6.194042205810547,20.376951217651367,18.402568817138672,8.327880859375,9.776437759399414,2.158060073852539
56,2022-04-08_lead_07,0.0,30.63294219970703,34.624183654785156,29.19694709777832,20.999876022338867,16.088912963867188,32.96501922607422
57,2023-04-08_lead_07,0.0,2.0324714183807373,17.1599063873291,1.6741365194320679,1.7374036312103271,10.180082321166992,0.0
58,2022-04-11_lead_07,15.300000190734863,70.55498504638672,31.515544891357422,53.165592193603516,34.9337158203125,34.152122497558594,84.97991943359375
59,2023-04-11_lead_07,0.0,0.7243373394012451,19.556259155273438,1.135972261428833,1.7341011762619019,11.169047355651855,0.0
60,2022-04-15_lead_07,34.30000305175781,71.27011108398438,49.183658599853516,49.13993453979492,73.30937194824219,49.293052673339844,86.25846099853516
61,2023-04-15_lead_07,0.0,1.9452900886535645,21.05927848815918,1.5020259618759155,2.3519699573516846,11.820459365844727,0.0
62,2022-04-18_lead_07,19.0,20.1231689453125,43.96356964111328,45.36731719970703,29.613792419433594,28.091941833496094,19.69664192199707
63,2023-04-18_lead_07,0.0,2.0336854457855225,34.93668746948242,4.282732009887695,2.870554208755493,13.898752212524414,0.0
64,2022-04-22_lead_07,0.0,4.213986396789551,35.16693115234375,38.516902923583984,7.019619941711426,11.250974655151367,0.4502483904361725
65,2023-04-22_lead_07,14.000000953674316,27.459627151489258,45.702720642089844,30.687026977539062,18.948896408081055,23.023054122924805,29.3541202545166
66,2022-04-25_lead_07,24.200000762939453,37.53396987915039,34.076934814453125,28.067787170410156,18.052101135253906,20.972675323486328,41.127952575683594
